"3DP Model
","Resin Brand
","Resin Type
","Color
","Bottom Exposure(s)
","Normal Exposure(s)
","Layer Height(mm)
","Notes
"
ELEGOO Mars,Elegoo,Standard Resin,Grey,60,8,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Black,70,13-15,0.05,
ELEGOO Mars,Elegoo,Standard Resin,White,60,8,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Red,60,8,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Green,60,8,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Translucent,70,12,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Clear Blue,60,8,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Blue,60,8,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Yellow,60,8,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Maroon,75,13-15,0.05,
ELEGOO Mars,Elegoo,Standard Resin,Beige,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Grey,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Black,70,13-15,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,White,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Red,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Green,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Translucent,70,12,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Clear Blue,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Blue,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Yellow,60,8,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Maroon,75,13-15,0.05,
ELEGOO Mars,Elegoo,ABS-Like Resin,Beige,60,8,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,Ceramic Grey,60,8,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,Black,70,13-15,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,White,60,8,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,Red,60,8,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,Green,60,8,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,Clear Blue,60,8,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,Yellow,60,8,0.05,
ELEGOO Mars,Elegoo,Water Washable Resin,Beige,60,8,0.05,
ELEGOO Mars,Elegoo,Standard  Plant-based Photopolymer Resin,Grey,60,8,0.05,
ELEGOO Mars,Elegoo,Standard  Plant-based Photopolymer Resin,Black,70,13-15,0.05,
ELEGOO Mars,Elegoo,Standard  Plant-based Photopolymer Resin,White,60,8,0.05,
ELEGOO Mars,Elegoo,Standard  Plant-based Photopolymer Resin,Green,60,8,0.05,
ELEGOO Mars,Elegoo,Standard  Plant-based Photopolymer Resin,Translucent,70,12,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Grey,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Black,45-50,10-12,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,White,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Red,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Green,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Translucent,45-50,10,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Clear Blue,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Blue,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Yellow,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Maroon,45-50,10-12,0.05,
ELEGOO Mars Pro,Elegoo,Standard Resin,Beige,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Grey,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Black,45-50,10-12,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,White,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Red,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Green,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Translucent,45-50,10,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Clear Blue,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Blue,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Yellow,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Maroon,45-50,10-12,0.05,
ELEGOO Mars Pro,Elegoo,ABS-Like Resin,Beige,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,Ceramic Grey,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,Black,45-50,10-12,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,White,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,Red,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,Green,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,Clear Blue,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,Yellow,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Water Washable Resin,Beige,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard  Plant-based Photopolymer Resin,Grey,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard  Plant-based Photopolymer Resin,Black,45-50,10-12,0.05,
ELEGOO Mars Pro,Elegoo,Standard  Plant-based Photopolymer Resin,White,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard  Plant-based Photopolymer Resin,Green,45-50,7,0.05,
ELEGOO Mars Pro,Elegoo,Standard  Plant-based Photopolymer Resin,Translucent,45-50,10,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Grey,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Black,45,3,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,White,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Red,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Green,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Translucent,40,3,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Clear Blue,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Blue,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Yellow,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Maroon,45,3,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Standard Resin,Beige,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Grey,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Black,35,3,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,White,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Red,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Green,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Translucent,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Clear Blue,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Blue,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Yellow,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Maroon,45,3,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,ABS-Like Resin,Beige,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Water Washable Resin,Ceramic Grey,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Water Washable Resin,Black,35,3,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Water Washable Resin,White,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Water Washable Resin,Red,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Water Washable Resin,Green,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Water Washable Resin,Clear Blue,35,2.5,0.05,
ELEGOO Mars 2 Pro-Mars 2,Elegoo,Water Washable Resin,Yellow,35,2.5,0.05,
